serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
1,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,3,Improved,Will Improve,Somewhat better off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,Same as last year,Same as current year
2,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Worsen,Will Remain the Same,Remained almost unchanged,Will go up,NA,Same as current year
3,22,DEC-14,Kolkata,30-39,Female,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
4,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Improve,Somewhat worse off,Will Remain the Same,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,Same as current year
6,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
7,22,DEC-14,Kolkata,60 & above,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
8,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
9,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
10,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Decreased,Increase,Remained the same,Will improve,Gone up,Will go down,Less than last year,NA
